plume_id_src,obs_datetime_utc,provider,emission_tph,emission_unc_tph,cluster_id,latitude,longitude
83fc41e06345a02e5524d39e0ba698e9,2024-09-23 03:43:50+00:00,SRON,14.0,6.0,-1,-21.14,147.65
0a8a471f91bc4d0e7ff1c926c2eb6cb2,2024-09-29 00:00:00+00:00,KAYRROS,15.34,6.9,1,-23.0759,148.5571
32f6802192d1c980ea0831506e1a0aad,2024-10-08 04:02:24+00:00,SRON,14.0,6.0,2,-22.14,148.57
c3004d926a74737ed6b3f7662043da42,2024-10-08 04:02:32+00:00,SRON,21.0,10.0,2,-21.75,148.47
199dc011f73f47dcee87304af6659327,2024-10-08 04:02:36+00:00,SRON,12.0,8.0,2,-21.52,148.32
04e897aaa37d113910004f33bfb75b85,2024-10-20 03:37:27+00:00,SRON,10.0,6.0,2,-21.89,148.01
dc57334d8234c3f0b966a2bedadf3b3e,2024-10-30 03:46:36+00:00,SRON,35.0,19.0,0,-32.6,151.02
7b039bc2c2284d8c2f9c389aba8eb086,2024-11-09 04:01:55+00:00,SRON,9.0,4.0,2,-21.96,148.26
a273bcedaf6942292b7a53935dbdc90a,2024-11-10 03:43:11+00:00,SRON,15.0,6.0,2,-21.9,147.97
8811cce49191d32c8e99e3659b9a7999,2024-12-29 00:00:00+00:00,KAYRROS,42.83,19.27,0,-32.4437,150.9741
30b0f82348ea1905a63e1087f2cb8029,2025-05-23 00:00:00+00:00,KAYRROS,14.72,6.62,-1,-28.6038,139.9123
